City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ushuaia,-54.8,-68.3,41.0,65,75,32.21,AR,2020-11-09 03:40:26
1,Hambantota,6.12,81.12,82.4,88,20,3.36,LK,2020-11-09 03:40:55
2,Kapaa,22.08,-159.32,80.6,69,75,13.87,US,2020-11-09 03:40:30
3,Leningradskiy,69.38,178.42,19.83,94,100,6.58,RU,2020-11-09 03:46:26
4,Bengkulu,-3.8,102.27,81.81,76,98,5.26,ID,2020-11-09 03:44:11
5,Mogadishu,2.04,45.34,79.29,81,77,7.67,SO,2020-11-09 03:41:52
6,Mpraeso,6.59,-0.73,68.92,100,73,2.82,GH,2020-11-09 03:46:26
7,Hobart,-42.88,147.33,80.01,33,0,5.82,AU,2020-11-09 03:35:24
8,Jamestown,42.1,-79.24,57.2,50,1,3.96,US,2020-11-09 03:40:31
9,Dikson,73.51,80.55,-1.41,91,95,14.65,RU,2020-11-09 03:40:39
10,Carnarvon,-24.87,113.63,75.2,53,90,13.87,AU,2020-11-09 03:40:48
11,Quthing,-30.4,27.7,67.28,62,99,0.76,LS,2020-11-09 03:46:27
12,Padang,-0.95,100.35,84.49,66,75,4.83,ID,2020-11-09 03:46:27
13,Harfleur,49.51,0.2,55.4,100,99,5.82,FR,2020-11-09 03:46:27
14,Saint-Philippe,-21.36,55.77,77.0,69,40,2.24,RE,2020-11-09 03:40:39
15,Igarka,67.47,86.58,26.46,98,100,7.72,RU,2020-11-09 03:41:50
16,Klaksvik,62.23,-6.59,48.2,100,100,13.87,FO,2020-11-09 03:40:41
17,Sao Filipe,14.9,-24.5,79.36,75,5,7.18,CV,2020-11-09 03:46:28
18,Chokurdakh,70.63,147.92,-13.74,91,98,3.42,RU,2020-11-09 03:40:27
19,Lebu,-37.62,-73.65,51.69,92,41,19.04,CL,2020-11-09 03:40:59
20,Racine,42.75,-88.08,66.99,77,1,5.82,US,2020-11-09 03:46:28
21,Katsuura,35.13,140.3,60.8,38,75,5.82,JP,2020-11-09 03:42:26
22,Albany,42.6,-73.97,51.01,93,1,2.06,US,2020-11-09 03:36:50
23,Kyren,51.68,102.14,41.58,65,0,1.97,RU,2020-11-09 03:46:29
24,Tuktoyaktuk,69.45,-133.04,12.2,92,75,16.11,CA,2020-11-09 03:46:29
25,Rikitea,-23.12,-134.97,73.09,78,89,15.66,PF,2020-11-09 03:40:25
26,Hagersville,42.97,-80.05,53.01,71,5,4.7,CA,2020-11-09 03:44:46
27,Severo-Kurilsk,50.68,156.12,35.28,87,100,18.9,RU,2020-11-09 03:40:29
28,Los Llanos De Aridane,28.66,-17.92,66.2,68,0,6.93,ES,2020-11-09 03:46:29
29,Buchanan,5.88,-10.05,77.0,94,75,2.95,LR,2020-11-09 03:46:30
30,Butaritari,3.07,172.79,82.11,65,1,8.99,KI,2020-11-09 03:40:43
31,Bani,18.28,-70.33,77.0,100,99,1.88,DO,2020-11-09 03:46:30
32,Luanda,-8.84,13.23,77.0,88,75,5.82,AO,2020-11-09 03:45:55
33,Balotra,25.83,72.23,82.18,17,0,0.29,IN,2020-11-09 03:46:30
34,Suoyarvi,62.08,32.35,31.57,97,27,8.72,RU,2020-11-09 03:46:30
35,Port Elizabeth,-33.92,25.57,57.2,93,40,14.99,ZA,2020-11-09 03:40:28
36,Bethel,41.37,-73.41,51.01,87,1,2.37,US,2020-11-09 03:40:24
37,Hithadhoo,-0.6,73.08,84.22,71,40,9.73,MV,2020-11-09 03:40:27
38,Sinnamary,5.38,-52.95,78.4,85,2,11.74,GF,2020-11-09 03:46:31
39,Cidreira,-30.18,-50.21,68.02,85,96,14.7,BR,2020-11-09 03:38:32
40,Ode,7.79,5.71,70.18,87,2,2.95,NG,2020-11-09 03:46:31
41,New Norfolk,-42.78,147.06,79.0,31,37,1.99,AU,2020-11-09 03:46:31
42,Hami,42.8,93.45,51.19,35,0,4.9,CN,2020-11-09 03:40:32
43,Labuhan,-6.88,112.21,91.0,49,79,2.73,ID,2020-11-09 03:46:32
44,Punta Arenas,-53.15,-70.92,41.0,75,0,14.99,CL,2020-11-09 03:40:27
45,Hasaki,35.73,140.83,66.0,37,75,11.41,JP,2020-11-09 03:40:51
46,Terrace,54.52,-128.6,30.2,80,90,1.1,CA,2020-11-09 03:45:01
47,Yellowknife,62.46,-114.35,28.4,79,75,14.99,CA,2020-11-09 03:36:33
48,Bluff,-46.6,168.33,55.99,71,77,7.0,NZ,2020-11-09 03:40:29
49,Bud,39.45,-86.18,62.6,67,1,3.36,US,2020-11-09 03:46:32
50,Bosaso,11.28,49.18,79.32,74,44,2.1,SO,2020-11-09 03:41:51
51,Castro,-24.79,-50.01,62.71,77,63,6.78,BR,2020-11-09 03:39:00
52,Saldanha,-33.01,17.94,48.2,87,0,4.7,ZA,2020-11-09 03:41:04
53,Roebourne,-20.78,117.13,94.44,22,0,17.49,AU,2020-11-09 03:46:33
54,Malakal,9.53,31.66,71.71,36,8,3.11,SS,2020-11-09 03:46:33
55,Vostok,46.49,135.88,18.84,90,88,9.91,RU,2020-11-09 03:41:29
56,Lokomotivnyy,53.01,60.57,32.63,91,16,16.91,RU,2020-11-09 03:46:33
57,Kasangulu,-4.59,15.17,78.8,69,75,6.93,CD,2020-11-09 03:46:33
58,Naryan-Mar,67.67,53.09,27.75,98,81,7.78,RU,2020-11-09 03:46:33
59,Naze,28.37,129.48,73.4,56,75,18.34,JP,2020-11-09 03:46:34
60,Izhma,65.01,53.91,30.74,96,100,9.78,RU,2020-11-09 03:46:34
61,Sohag,26.56,31.69,60.8,55,0,6.93,EG,2020-11-09 03:46:34
62,Kungurtug,50.6,97.52,35.56,78,0,1.52,RU,2020-11-09 03:46:34
63,Hay River,60.82,-115.8,23.0,73,64,18.34,CA,2020-11-09 03:41:20
64,Vaini,-21.2,-175.2,80.6,74,20,10.29,TO,2020-11-09 03:46:34
65,Palmer,42.16,-72.33,48.99,100,1,0.6,US,2020-11-09 03:46:35
66,Lavrentiya,65.58,-171.0,27.18,95,84,7.78,RU,2020-11-09 03:46:35
67,Naantali,60.47,22.02,41.0,86,90,5.82,FI,2020-11-09 03:46:35
68,Cap Malheureux,-19.98,57.61,77.0,74,14,8.99,MU,2020-11-09 03:41:35
69,Benjamin Constant,-4.38,-70.03,75.2,100,75,4.7,BR,2020-11-09 03:46:35
70,Crotone,39.09,17.12,59.59,66,2,6.89,IT,2020-11-09 03:41:56
71,Bachaquero,9.97,-71.15,80.11,82,100,9.17,VE,2020-11-09 03:40:33
72,Avarua,-21.21,-159.78,77.0,73,86,6.93,CK,2020-11-09 03:46:36
73,Busselton,-33.65,115.33,64.0,72,99,17.49,AU,2020-11-09 03:40:25
74,Tessalit,20.2,1.01,69.44,29,6,13.47,ML,2020-11-09 03:46:36
75,Port Lincoln,-34.73,135.87,75.88,35,28,16.04,AU,2020-11-09 03:41:10
76,Murdochville,48.96,-65.5,33.8,80,100,5.82,CA,2020-11-09 03:46:36
77,Mataura,-46.19,168.86,55.99,71,95,7.0,NZ,2020-11-09 03:40:29
78,Kodiak,57.79,-152.41,44.6,48,1,28.86,US,2020-11-09 03:40:24
79,Barrow,71.29,-156.79,15.8,78,90,25.28,US,2020-11-09 03:40:39
80,Esperance,-33.87,121.9,91.4,27,40,18.34,AU,2020-11-09 03:41:01
81,Airai,-8.93,125.41,80.56,41,85,7.31,TL,2020-11-09 03:46:37
82,Lantawan,10.62,123.98,87.8,62,20,10.29,PH,2020-11-09 03:46:37
83,Cape Town,-33.93,18.42,51.01,75,40,2.24,ZA,2020-11-09 03:40:36
84,Georgetown,5.41,100.34,84.2,78,20,4.7,MY,2020-11-09 03:40:35
85,Aklavik,68.22,-135.01,21.2,85,100,4.7,CA,2020-11-09 03:37:20
86,Mount Gambier,-37.83,140.77,86.0,22,100,13.87,AU,2020-11-09 03:40:40
87,Nanortalik,60.14,-45.24,27.46,93,100,22.62,GL,2020-11-09 03:40:43
88,Puerto Ayora,-0.74,-90.35,68.0,88,15,5.99,EC,2020-11-09 03:39:06
89,Hilo,19.73,-155.09,78.8,78,90,9.17,US,2020-11-09 03:39:25
90,Lebedinyy,58.52,125.52,1.45,89,1,4.88,RU,2020-11-09 03:46:39
91,Half Moon Bay,37.46,-122.43,50.0,71,20,12.75,US,2020-11-09 03:43:27
92,Pisco,-13.7,-76.22,62.6,88,41,3.36,PE,2020-11-09 03:46:39
93,Port Alfred,-33.59,26.89,62.19,85,100,15.88,ZA,2020-11-09 03:40:43
94,Bairiki,1.33,172.98,86.0,62,40,9.17,KI,2020-11-09 03:46:39
95,East London,-33.02,27.91,59.0,93,75,10.29,ZA,2020-11-09 03:40:32
96,Sovetskiy,61.36,63.58,29.79,95,100,8.16,RU,2020-11-09 03:46:40
97,Grindavik,63.84,-22.43,42.8,87,90,20.8,IS,2020-11-09 03:46:40
98,Kaitangata,-46.28,169.85,53.01,71,97,11.01,NZ,2020-11-09 03:41:43
99,Ipswich,52.06,1.16,55.99,100,100,3.36,GB,2020-11-09 03:43:14
100,Ponta Do Sol,32.67,-17.1,64.4,68,20,8.05,PT,2020-11-09 03:40:53
101,Klyuchi,52.27,79.17,40.19,68,67,22.3,RU,2020-11-09 03:46:40
102,Saint-Pierre,-21.34,55.48,78.8,57,20,2.24,RE,2020-11-09 03:42:00
103,Eyl,7.98,49.82,80.64,71,10,19.19,SO,2020-11-09 03:46:41
104,Sandwick,60.0,-1.25,51.8,93,100,12.75,GB,2020-11-09 03:46:41
105,Doaba,33.42,70.74,69.57,21,10,0.09,PK,2020-11-09 03:46:41
106,Saint Anthony,45.02,-93.22,68.0,60,90,12.75,US,2020-11-09 03:41:11
107,Mayo,38.89,-76.51,57.99,100,1,4.45,US,2020-11-09 03:46:41
108,Sitka,57.05,-135.33,44.6,75,90,26.4,US,2020-11-09 03:46:41
109,Port Blair,11.67,92.75,84.52,71,42,12.64,IN,2020-11-09 03:41:19
110,Mantua,45.17,10.78,44.6,93,6,3.36,IT,2020-11-09 03:42:00
111,Nikolskoye,59.7,30.79,37.0,92,0,6.71,RU,2020-11-09 03:40:38
112,Buraydah,26.33,43.98,64.4,88,40,5.82,SA,2020-11-09 03:46:42
113,Bodmin,50.47,-4.72,55.4,93,64,17.22,GB,2020-11-09 03:46:42
114,Chuy,-33.7,-53.46,58.62,89,68,6.98,UY,2020-11-09 03:40:31
115,Dobryatino,55.51,41.32,30.78,95,0,8.79,RU,2020-11-09 03:46:42
116,Lucapa,-8.42,20.74,65.34,98,81,2.39,AO,2020-11-09 03:46:42
117,Longyearbyen,78.22,15.64,28.4,68,75,6.93,SJ,2020-11-09 03:40:34
118,Atar,20.52,-13.05,81.64,16,87,5.61,MR,2020-11-09 03:46:43
119,Pokhara,28.23,83.98,73.65,33,0,3.29,NP,2020-11-09 03:46:43
120,Kavieng,-2.57,150.8,84.04,68,41,2.44,PG,2020-11-09 03:46:43
121,Arraial Do Cabo,-22.97,-42.03,73.9,93,70,8.12,BR,2020-11-09 03:46:43
122,Nioro,13.35,-15.75,75.29,76,0,4.41,GM,2020-11-09 03:46:43
123,Praia Da Vitoria,38.73,-27.07,51.8,87,20,6.73,PT,2020-11-09 03:46:43
124,Kivsharivka,49.62,37.7,45.37,76,88,6.35,UA,2020-11-09 03:46:44
125,Guerrero Negro,27.98,-114.06,63.68,61,77,11.74,MX,2020-11-09 03:46:44
126,Parabel,58.7,81.48,33.85,88,90,14.94,RU,2020-11-09 03:40:54
127,Narsaq,60.92,-46.05,30.2,86,100,2.44,GL,2020-11-09 03:40:47
128,Bandar-E Lengeh,26.56,54.88,69.8,94,0,7.09,IR,2020-11-09 03:46:44
129,Vester Hassing,57.07,10.13,44.01,98,87,3.0,DK,2020-11-09 03:46:44
130,Mar Del Plata,-38.0,-57.56,61.0,93,75,6.93,AR,2020-11-09 03:35:53
131,Cabo San Lucas,22.89,-109.91,75.0,78,5,13.87,MX,2020-11-09 03:40:35
132,Hermanus,-34.42,19.23,45.0,93,53,8.23,ZA,2020-11-09 03:40:35
133,Egvekinot,66.32,-179.17,17.17,97,100,8.7,RU,2020-11-09 03:46:45
134,Vaxjo,56.88,14.81,44.6,93,53,4.7,SE,2020-11-09 03:46:36
135,San Patricio,28.02,-97.52,73.0,88,20,9.17,US,2020-11-09 03:46:45
136,Makakilo City,21.35,-158.09,82.4,54,1,8.05,US,2020-11-09 03:43:36
137,Richards Bay,-28.78,32.04,73.44,86,90,7.52,ZA,2020-11-09 03:46:45
138,Bredasdorp,-34.53,20.04,50.0,71,54,6.93,ZA,2020-11-09 03:40:33
139,Broome,42.25,-75.83,55.4,50,1,3.36,US,2020-11-09 03:46:45
140,Viedma,-40.81,-63.0,59.0,90,52,11.5,AR,2020-11-09 03:46:46
141,Lambarene,-0.7,10.24,73.22,95,100,0.56,GA,2020-11-09 03:41:19
142,Marawi,8.0,124.29,84.99,73,37,7.0,PH,2020-11-09 03:41:21
143,Bergen,60.39,5.33,42.01,100,0,16.11,NO,2020-11-09 03:43:58
144,Ancud,-41.87,-73.82,55.0,76,0,6.93,CL,2020-11-09 03:41:33
145,Montepuez,-13.13,39.0,72.64,83,55,6.04,MZ,2020-11-09 03:46:46
146,Kalemie,-5.95,29.19,72.07,81,98,2.33,CD,2020-11-09 03:46:46
147,Santa Maria,-29.68,-53.81,68.0,77,40,14.99,BR,2020-11-09 03:44:40
148,Antalaha,-14.9,50.28,74.34,80,99,8.3,MG,2020-11-09 03:46:46
149,Kathu,7.92,98.33,82.4,83,40,8.05,TH,2020-11-09 03:40:36
150,Evanston,42.04,-87.69,69.8,64,40,9.17,US,2020-11-09 03:37:41
151,Asau,46.43,26.4,41.0,70,75,2.24,RO,2020-11-09 03:46:47
152,Atuona,-9.8,-139.03,77.67,64,58,13.27,PF,2020-11-09 03:40:30
153,Pitlochry,56.71,-3.73,50.0,93,100,2.04,GB,2020-11-09 03:46:47
154,Qaanaaq,77.48,-69.36,-8.05,70,0,7.85,GL,2020-11-09 03:46:47
155,Loreto,22.27,-101.97,58.73,42,0,4.83,MX,2020-11-09 03:46:47
156,Bumba,2.18,22.47,71.26,97,100,2.48,CD,2020-11-09 03:46:47
157,Yerbogachen,61.28,108.01,33.58,93,100,8.9,RU,2020-11-09 03:46:48
158,Itarema,-2.92,-39.92,80.56,78,10,17.87,BR,2020-11-09 03:41:14
159,Rudsar,37.14,50.29,51.8,87,20,4.7,IR,2020-11-09 03:46:48
160,Volgorechensk,57.44,41.16,30.2,86,0,8.95,RU,2020-11-09 03:46:48
161,Torbay,47.67,-52.73,34.0,74,20,10.29,CA,2020-11-09 03:40:53
162,Paracatu,-17.22,-46.87,71.06,82,83,2.98,BR,2020-11-09 03:46:48
163,Mackenzie,55.3,-123.17,21.2,79,1,5.82,CA,2020-11-09 03:46:48
164,Gat,31.61,34.76,64.0,82,20,4.7,IL,2020-11-09 03:44:02
165,Tobol,52.68,62.58,36.52,81,53,15.99,KZ,2020-11-09 03:46:49
166,Sarakhs,36.54,61.16,48.2,100,97,2.24,IR,2020-11-09 03:46:49
167,Homestead,25.47,-80.48,75.99,94,90,29.97,US,2020-11-09 03:46:49
168,Colares,38.8,-9.45,60.01,97,13,5.35,PT,2020-11-09 03:46:49
169,Faanui,-16.48,-151.75,78.12,79,91,16.64,PF,2020-11-09 03:40:25
170,Souillac,-20.52,57.52,71.6,83,75,3.36,MU,2020-11-09 03:41:47
171,Lorengau,-2.02,147.27,84.36,68,53,4.18,PG,2020-11-09 03:46:49
172,Abancay,-13.63,-72.88,57.74,65,100,2.59,PE,2020-11-09 03:46:50
173,Ribeira Grande,38.52,-28.7,61.65,63,65,13.98,PT,2020-11-09 03:40:54
174,Cherskiy,68.75,161.3,1.89,93,98,3.04,RU,2020-11-09 03:46:50
175,Bocaiuva,-17.11,-43.81,73.4,69,0,3.42,BR,2020-11-09 03:46:50
176,Pouembout,-21.13,164.9,79.54,57,26,12.88,NC,2020-11-09 03:46:50
177,Khatanga,71.97,102.5,11.08,92,100,17.02,RU,2020-11-09 03:40:29
178,Dalbandin,28.89,64.41,72.81,18,15,0.27,PK,2020-11-09 03:46:50
179,Phan Thiet,10.93,108.1,81.05,73,99,1.5,VN,2020-11-09 03:46:51
180,Geraldton,-28.77,114.6,75.2,57,75,24.16,AU,2020-11-09 03:41:08
181,Kokstad,-30.55,29.42,61.63,92,100,4.25,ZA,2020-11-09 03:46:52
182,Warrington,53.39,-2.58,53.01,100,81,6.93,GB,2020-11-09 03:42:40
183,Victor Harbor,-35.57,138.62,81.0,38,89,7.9,AU,2020-11-09 03:46:52
184,Sibolga,1.74,98.78,83.7,72,100,3.91,ID,2020-11-09 03:46:52
185,Verkhniy Lomov,53.47,43.55,32.11,95,0,9.78,RU,2020-11-09 03:46:52
186,Cururupu,-1.83,-44.87,77.76,88,22,4.79,BR,2020-11-09 03:42:24
187,Vila Franca Do Campo,37.72,-25.43,57.2,82,75,2.24,PT,2020-11-09 03:46:52
188,Aksu,41.12,80.26,49.89,39,100,2.66,CN,2020-11-09 03:46:52
189,Bozeman,45.68,-111.04,14.0,66,90,4.7,US,2020-11-09 03:46:53
190,Black River,18.03,-77.85,79.0,88,20,4.7,JM,2020-11-09 03:46:53
191,Saint George,37.1,-113.58,39.99,86,1,8.05,US,2020-11-09 03:46:53
192,Dalsingh Sarai,25.67,85.83,77.85,36,0,3.69,IN,2020-11-09 03:46:53
193,Baker City,44.77,-117.83,30.2,68,90,14.99,US,2020-11-09 03:46:53
194,Thompson,55.74,-97.86,8.6,92,90,16.11,CA,2020-11-09 03:40:44
195,Sarangani,5.4,125.46,83.64,75,80,13.53,PH,2020-11-09 03:46:53
196,Quatre Cocos,-20.21,57.76,77.0,83,75,3.36,MU,2020-11-09 03:46:53
197,Killarney,52.05,-9.52,53.83,91,100,5.73,IE,2020-11-09 03:46:54
198,Mahebourg,-20.41,57.7,71.6,83,75,3.36,MU,2020-11-09 03:40:26
199,Chapais,49.78,-74.85,39.2,100,90,4.7,CA,2020-11-09 03:46:54
200,Aragats,40.49,44.35,32.0,85,0,3.36,AM,2020-11-09 03:46:54
201,Baghdad,33.34,44.4,66.2,59,0,5.82,IQ,2020-11-09 03:45:39
202,Adeje,28.12,-16.73,68.0,60,20,11.41,ES,2020-11-09 03:46:54
203,Tiksi,71.69,128.87,-8.81,87,4,4.45,RU,2020-11-09 03:40:38
204,Srednekolymsk,67.45,153.68,-6.05,91,99,4.38,RU,2020-11-09 03:46:54
205,Murgab,37.5,61.97,50.0,87,40,4.7,TM,2020-11-09 03:46:55
206,Isangel,-19.55,169.27,77.0,78,90,6.93,VU,2020-11-09 03:42:06
207,Whittlesea,-32.18,26.82,59.43,81,95,5.46,ZA,2020-11-09 03:46:55
208,Port Hawkesbury,45.62,-61.35,37.99,80,90,4.97,CA,2020-11-09 03:46:55
209,Visnes,59.36,5.22,46.0,93,100,11.41,NO,2020-11-09 03:41:24
210,Besikduzu,41.05,39.23,55.4,66,0,8.05,TR,2020-11-09 03:46:55
211,Port Macquarie,-31.43,152.92,71.01,52,75,11.41,AU,2020-11-09 03:46:36
212,Christchurch,-43.53,172.63,57.2,62,86,12.75,NZ,2020-11-09 03:45:00
213,Hofn,64.25,-15.21,41.85,83,100,9.89,IS,2020-11-09 03:42:01
214,Cloquet,46.72,-92.46,66.2,59,40,13.87,US,2020-11-09 03:46:56
215,Itoman,26.12,127.67,77.0,69,75,19.46,JP,2020-11-09 03:41:21
216,Yaan,7.38,8.57,72.19,86,31,3.2,NG,2020-11-09 03:46:56
217,Abu Samrah,35.3,37.18,59.58,59,95,5.64,SY,2020-11-09 03:41:00
218,Barretos,-20.56,-48.57,77.83,44,43,3.8,BR,2020-11-09 03:46:56
219,Comodoro Rivadavia,-45.87,-67.5,66.2,42,0,8.05,AR,2020-11-09 03:40:38
220,Alice Springs,-23.7,133.88,100.4,8,0,11.41,AU,2020-11-09 03:45:51
221,Machico,32.7,-16.77,64.4,68,20,8.05,PT,2020-11-09 03:46:57
222,Plettenberg Bay,-34.05,23.37,56.68,81,100,8.84,ZA,2020-11-09 03:42:04
223,Revelstoke,50.98,-118.2,35.6,40,1,12.75,CA,2020-11-09 03:46:57
224,Avera,33.19,-82.53,68.0,94,75,8.05,US,2020-11-09 03:41:46
225,Vicuna,-30.03,-70.71,55.4,87,0,1.12,CL,2020-11-09 03:46:57
226,Manggar,-2.88,108.27,84.97,69,89,8.28,ID,2020-11-09 03:46:57
227,Manjacaze,-24.71,33.88,76.1,72,0,7.25,MZ,2020-11-09 03:41:42
228,Tuatapere,-46.13,167.68,55.99,71,98,7.0,NZ,2020-11-09 03:40:57
229,Makat,47.65,53.35,45.34,69,96,17.87,KZ,2020-11-09 03:46:58
230,Upernavik,72.79,-56.15,-6.07,76,0,9.93,GL,2020-11-09 03:41:24
231,Mount Isa,-20.73,139.5,100.4,8,0,6.93,AU,2020-11-09 03:41:39
232,Luderitz,-26.65,15.16,57.97,76,0,24.85,NA,2020-11-09 03:40:39
233,Tilichiki,60.47,166.1,9.19,95,52,12.37,RU,2020-11-09 03:46:58
234,Ayagoz,47.97,80.44,36.48,92,100,24.52,KZ,2020-11-09 03:46:58
235,Bandarbeyla,9.49,50.81,78.84,76,9,16.96,SO,2020-11-09 03:46:59
236,San Quintin,30.48,-115.95,61.09,61,25,15.43,MX,2020-11-09 03:46:59
237,Noyabrsk,63.2,75.45,24.33,98,100,8.61,RU,2020-11-09 03:46:59
238,Charters Towers,-20.1,146.27,85.93,40,72,20.0,AU,2020-11-09 03:46:59
239,Ewa Beach,21.32,-158.01,82.4,54,1,8.05,US,2020-11-09 03:46:35
240,Ibra,22.69,58.53,77.13,49,0,4.36,OM,2020-11-09 03:47:00
241,Ndele,8.41,20.65,71.19,56,0,2.13,CF,2020-11-09 03:47:00
242,Tukrah,32.53,20.58,64.85,66,36,10.96,LY,2020-11-09 03:47:00
243,Norman Wells,65.28,-126.83,15.8,92,75,4.7,CA,2020-11-09 03:40:30
244,Don Sak,9.32,99.69,84.2,74,20,3.36,TH,2020-11-09 03:47:00
245,Buenaventura,3.88,-77.03,66.0,75,100,0.87,CO,2020-11-09 03:47:00
246,Umm Lajj,25.02,37.27,73.22,56,0,7.87,SA,2020-11-09 03:47:00
247,Ostrovnoy,68.05,39.51,32.2,94,100,22.77,RU,2020-11-09 03:47:00
248,Tasiilaq,65.61,-37.64,33.13,95,100,31.14,GL,2020-11-09 03:40:33
249,Pontes E Lacerda,-15.23,-59.34,76.46,68,46,2.75,BR,2020-11-09 03:47:01
250,Port-Gentil,-0.72,8.78,78.21,83,100,8.99,GA,2020-11-09 03:47:01
251,Iqaluit,63.75,-68.51,15.8,78,90,13.71,CA,2020-11-09 03:40:39
252,North Myrtle Beach,33.82,-78.68,69.8,83,1,12.75,US,2020-11-09 03:47:01
253,Burnie,-41.07,145.92,62.01,54,69,10.0,AU,2020-11-09 03:47:01
254,Dingle,11.0,122.67,85.14,74,38,2.86,PH,2020-11-09 03:40:56
255,Biltine,14.53,20.92,72.63,28,11,11.52,TD,2020-11-09 03:41:58
256,Bocana De Paiwas,12.79,-85.12,73.36,91,100,7.65,NI,2020-11-09 03:47:02
257,Mahibadhoo,3.78,72.97,83.57,71,65,3.96,MV,2020-11-09 03:47:02
258,Grand Gaube,-20.01,57.66,77.0,74,19,8.99,MU,2020-11-09 03:47:02
259,Waipawa,-41.41,175.52,55.4,66,99,27.51,NZ,2020-11-09 03:47:02
260,Port Augusta,-32.5,137.77,88.0,28,53,9.17,AU,2020-11-09 03:40:43
261,High Rock,26.62,-78.28,77.0,94,90,20.8,BS,2020-11-09 03:47:02
262,Gunjur,13.2,-16.73,77.0,100,5,6.51,GM,2020-11-09 03:47:02
263,Saint-Francois,46.42,3.91,45.0,100,1,3.36,FR,2020-11-09 03:41:26
264,Corner Brook,48.97,-57.95,32.0,74,75,3.36,CA,2020-11-09 03:37:50
265,Itaituba,-4.28,-55.98,75.99,94,100,1.05,BR,2020-11-09 03:47:03
266,Suntar,62.14,117.63,10.22,87,100,8.12,RU,2020-11-09 03:41:18
267,Victoria,22.29,114.16,78.01,49,83,7.34,HK,2020-11-09 03:36:00
268,Merauke,-8.47,140.33,83.82,75,52,14.18,ID,2020-11-09 03:40:47
269,Chiungutwa,-10.88,38.98,75.78,75,99,2.39,TZ,2020-11-09 03:47:03
270,Ihosy,-22.4,46.12,66.96,73,52,8.48,MG,2020-11-09 03:47:03
271,Ballina,-28.87,153.57,73.4,64,90,17.22,AU,2020-11-09 03:41:15
272,Leuwiliang,-6.57,106.63,96.01,53,100,1.41,ID,2020-11-09 03:47:05
273,Paamiut,61.99,-49.67,22.5,88,100,43.31,GL,2020-11-09 03:47:05
274,Mandalgovi,45.76,106.27,39.04,63,0,8.14,MN,2020-11-09 03:47:05
275,Krasnoselkup,65.7,82.47,32.11,99,100,8.52,RU,2020-11-09 03:40:26
